Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Chicken Biryani & Chicken 65,3,360
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Mutton Biryani & Chicken Chukka,3,361
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Mutton Biryani & Chicken 65,3,362
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Chappathi & Chettinad Veg Masala,3,363
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Chappathi & Chettinad Chicken Masala,3,364
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Chappathi & Mutton Masala,3,365
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Plain Parota & Karaikudi Chicken Masala,3,366
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Plain Parota & Chettinad  Chicken Masala,3,367
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Plain Parota & Mutton Masala,3,368
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,3,369
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Kal Dosai & Chettinad Veg Masala,3,370
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Kal Dosai & Chettinad Chicken Masala,3,371
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Kal Dosai & Mutton Masala,3,372
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Idiyappam & Karaikudi Chicken Masala,3,373
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Idiyappam & Varutha Egg Curry,3,374
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Idiyappam & Mutton Kola Masala,3,375
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Simple Nonveg meal,3,376
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Rice & Mutton Kuzhambu,3,377
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Rice & Chicken Kuzhambu,3,378
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Rice & Fish Kuzhambu,3,379
18-04-2017,BN,BreakFast,MTP,Anjappar Koramangala,Chicken Biryani Mega Meal,3,380
