Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
31-05-2017,BN,Lunch,ANZ,Anjappar Koramangala,SPL Plain Parota & Karaikudi Chicken Masala,4,1640
31-05-2017,BN,Lunch,ANZ,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,6,1651
31-05-2017,BN,Lunch,ANZ,Anjappar Koramangala,SPL Egg Biryani & Plain NV gravy,4,1652
31-05-2017,BN,Lunch,ANZ,Nandhana,SPL New Chapati & Veg Biryani,7,1650
31-05-2017,BN,Lunch,ANZ,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,7,1647
31-05-2017,BN,Lunch,ANZ,Nandhana,SPL New Natu Kodi Biryani & Chicken Pepper Roast,8,1649
31-05-2017,BN,Lunch,APT,Nandhana,SPL New Nellore Mutton Biryani ,4,1645
31-05-2017,BN,Lunch,APT,Nandhana,SPL New Chapati & Veg Biryani,5,1650
31-05-2017,BN,Lunch,MTP,Anjappar Koramangala,SPL Plain Parota & Karaikudi Chicken Masala,3,1640
31-05-2017,BN,Lunch,MTP,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,4,1651
31-05-2017,BN,Lunch,MTP,Anjappar Koramangala,SPL Egg Biryani & Plain NV gravy,4,1652
31-05-2017,BN,Lunch,MTP,Nandhana,SPL New Simple Andhra Meal Veg,4,1646
31-05-2017,BN,Lunch,MTP,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,4,1647
31-05-2017,BN,Lunch,MTP,Nandhana,SPL New Natu Kodi Biryani & Chicken Pepper Roast,4,1649
31-05-2017,BN,Lunch,HUI,Anjappar Koramangala,SPL Plain Parota & Karaikudi Chicken Masala,3,1640
31-05-2017,BN,Lunch,HUI,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,5,1651
31-05-2017,BN,Lunch,HUI,Anjappar Koramangala,SPL Chettinadu Chicken Biryani Combo,3,1653
31-05-2017,BN,Lunch,HUI,Anjappar Koramangala,SPL Egg Biryani & Plain NV gravy,4,1652
31-05-2017,BN,Lunch,HUI,Nandhana,SPL New Nellore Mutton Biryani ,4,1645
31-05-2017,BN,Lunch,HUI,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,4,1647
31-05-2017,BN,Lunch,HUI,Nandhana,SPL New Natu Kodi Biryani & Chicken Pepper Roast,4,1649
31-05-2017,BN,Lunch,APT,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,7,1647
31-05-2017,BN,Lunch,APT,Nandhana,SPL New Natu Kodi Biryani & Chicken Pepper Roast,5,1649
31-05-2017,BN,Lunch,APT,Vasudev Adigas,Puliogare combo,3,1357
31-05-2017,BN,Lunch,APT,Vasudev Adigas,Rice Bath Combo,4,1397
31-05-2017,BN,Lunch,HUI,Vasudev Adigas,Puliogare combo,4,1357
31-05-2017,BN,Lunch,MTP,Vasudev Adigas,Rice Bath Combo,2,1397
31-05-2017,BN,Lunch,MTP,Vasudev Adigas,Bisibele Bath Combo,2,1358
31-05-2017,BN,Lunch,ANZ,Currylicious Restaurant,Thalassery Chicken Biryani & Pepper Chicken,8,897
31-05-2017,BN,Lunch,MTP,Yumlok,Paneer Chatpati Thali,4,1535
31-05-2017,BN,Lunch,MTP,Yumlok,Matar Panner Thali,4,1523
31-05-2017,BN,Lunch,MTP,Yumlok,Bhindi Fry Phulka Combo,4,1518
31-05-2017,BN,Lunch,MTP,Currylicious Restaurant,Thalassery Veg Biryani & Potato Fry,2,898
31-05-2017,BN,Lunch,MTP,Currylicious Restaurant,Thalassery Chicken Biryani & Pepper Chicken,5,897
31-05-2017,BN,Lunch,ANZ,Currylicious Restaurant,Thalassery Veg Biryani & Potato Fry,6,898
31-05-2017,BN,Lunch,ADS,Vasudev Adigas,Veg Kothu Parota with veg kuruma,3,1361
31-05-2017,BN,Lunch,ADS,Vasudev Adigas,Rice Bath Combo,3,1397
31-05-2017,BN,Lunch,HUI,Vasudev Adigas,Rice Bath Combo,3,1397
31-05-2017,BN,Lunch,HUI,Yumlok,Paneer Chatpati Thali,6,1535
31-05-2017,BN,Lunch,HUI,Yumlok,Matar Panner Thali,5,1523
31-05-2017,BN,Lunch,HUI,Yumlok,Baingan Thali,4,1514
31-05-2017,BN,Lunch,HUI,Yumlok,Bhindi Fry Phulka Combo,5,1518
31-05-2017,BN,Lunch,HUI,Vasudev Adigas,Bisibele Bath Combo,4,1358
31-05-2017,BN,Lunch,ANZ,Vasudev Adigas,Rice Bath Combo,2,1397
31-05-2017,BN,Lunch,ANZ,Vasudev Adigas,Puliogare combo,3,1357
,,,,,,,
31-05-2017,BN,Lunch,ANZ,Vasudev Adigas,Bisibele Bath Combo,3,1358
31-05-2017,BN,Lunch,ADS,Delhi Highway Banglore,Paneer Butter masala combo,3,387
31-05-2017,BN,Lunch,ADS,Delhi Highway Banglore,Chhole Kulche,4,421
31-05-2017,BN,Lunch,APT,Delhi Highway Banglore,Paneer Butter masala combo,9,387
31-05-2017,BN,Lunch,APT,Delhi Highway Banglore,Chhole Kulche,9,421
31-05-2017,BN,Lunch,ANZ,Delhi Highway Banglore,Paneer Butter masala combo,5,387
31-05-2017,BN,Lunch,ANZ,Delhi Highway Banglore,Chhole Kulche,4,421
31-05-2017,BN,Lunch,ADS,Yumlok,Paneer Chatpati Thali,3,1535
31-05-2017,BN,Lunch,ADS,Yumlok,Matar Panner Thali,4,1523
31-05-2017,BN,Lunch,ADS,Delhi Highway Banglore,Paneer Butter masala combo,3,387
31-05-2017,BN,Lunch,MTP,Currylicious Restaurant,Kerala Egg Roast & Malabar parata,3,1435
31-05-2017,BN,Lunch,HUI,Vasudev Adigas,North Indian Meal,3,1371
31-05-2017,BN,Lunch,ANZ,Yumlok,Matar Panner Thali,1,1523
31-05-2017,BN,Lunch,ANZ,Yumlok,Paneer Chatpati Thali,1,1535
31-05-2017,BN,Lunch,ANZ,Vasudev Adigas,North Indian Meal,3,1371
31-05-2017,BN,Lunch,APT,Yumlok,Paneer Teekhi Thali,3,1526
31-05-2017,BN,Lunch,APT,Yumlok,Baingan Phulka Combo,3,1512
31-05-2017,BN,Lunch,APT,Vasudev Adigas,North Indian Meal,4,1371
31-05-2017,BN,Lunch,ADS,Vasudev Adigas,North Indian Meal,3,1371
31-05-2017,BN,Lunch,MTP,Chungwah,New Hunan Chicken & Chicken Noodles,3,1408
31-05-2017,BN,Lunch,APT,Chungwah,New Hunan Chicken & Chicken Noodles,3,1408
31-05-2017,BN,Dinner,ADS,Anjappar Koramangala,Egg Biryani & Plain NV gravy,2,384
31-05-2017,BN,Dinner,ADS,Anjappar Koramangala,SPL Chettinadu Chicken Biryani Combo,1,1653
31-05-2017,BN,Dinner,ADS,Anjappar Koramangala,SPL Plain Parota & Chettinad  Chicken Masala,1,1644
31-05-2017,BN,Dinner,MTP,Anjappar Koramangala,SPL Chettinadu Chicken Biryani Combo,2,1653
31-05-2017,BN,Dinner,MTP,Anjappar Koramangala,Egg Biryani & Plain NV gravy,2,384
31-05-2017,BN,Dinner,MTP,Anjappar Koramangala,SPL Plain Parota & Chettinad  Chicken Masala,1,1644
31-05-2017,BN,Dinner,ADS,Vasudev Adigas,Rice Bath Combo,1,1397
