Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chappathi with Chettinad Veg Masala,3,187
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Veg Kal Dosai Combo,3,188
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Idyappam & Chettinad Veg Masala,3,189
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chapathi bindi masala,3,190
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chapathi Mixed veg curry,3,191
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken 65 Biryani Meal,3,200
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Biryani Chicken Chukka,3,201
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Veg Masala with Chapati,3,202
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken with Chapati,3,203
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Karaikudi Chicken with Parota,3,204
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Veg Kothu Parota with Veg Kurma,3,205
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Kal Dosai with Mutton Masala,3,206
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Varutha Egg Curry with Idiyappam,3,207
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Kuzhambu Rice Combo,3,208
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Fish Kuzhambu Rice Combo,3,209
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Biryani Mega Meal,3,210
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken Masala with Parota,3,211
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Biryani with Chicken 65,3,235
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Biryani with Chicken Chukka,3,236
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Biryani with Chicken 65,3,237
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chappathi with Chettinad Veg Masala,3,238
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken with Chapati,3,239
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chappathi with Mutton Masala,3,240
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken with Parota,3,241
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Plain Parota with Mutton Masala,3,242
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Veg Kal Dosai Combo,3,243
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken Kal Dosai Combo,3,244
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Mutton Kal Dosai Combo,3,245
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Karaikudi Chicken with Idiyappam,3,246
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Varutha Egg Curry with Idiyappam,3,247
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Kola Masala with Idiyappam,3,248
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Kuzhambu Rice Combo,3,249
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Kuzhambu Rice Meal,3,250
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Kuzhambu Rice Meal,3,251
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Fish Kuzhambu Rice Meal,3,252
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Biryani Mega Meal,3,253
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Curry Combo Meal,3,254
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Masala Combo Meal,3,255
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Veg fried rice with gobi manchurian,3,256
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Egg Fried Rice with Chili Chicken,3,257
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chicken Fried Rice with Chili Chicken,3,258
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chappathi with Chettinad Veg Masala,3,187
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Veg Kal Dosai Combo,3,188
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Idyappam & Chettinad Veg Masala,3,189
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chapathi bindi masala,3,190
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chapathi Mixed veg curry,3,191
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chicken 65 Biryani Meal,3,200
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Mutton Biryani Chicken Chukka,3,201
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chettinad Veg Masala with Chapati,3,202
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chettinad Chicken with Chapati,3,203
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Karaikudi Chicken with Parota,3,204
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Veg Kothu Parota with Veg Kurma,3,205
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Kal Dosai with Mutton Masala,3,206
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Varutha Egg Curry with Idiyappam,3,207
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chicken Kuzhambu Rice Combo,3,208
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Fish Kuzhambu Rice Combo,3,209
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chicken Biryani Mega Meal,3,210
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chettinad Chicken Masala with Parota,3,211
18-04-2017,CH,Lunch,DLF,Anjappar Porur,Chicken Biryani with Chicken 65,3,235
