Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chappathi with Chettinad Veg Masala,2,187
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Veg Kal Dosai Combo,2,188
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Idyappam & Chettinad Veg Masala,2,189
18-04-2017,CH,BreakFast,DLF,Anjappar Porur,Chapathi bindi masala,2,190
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
18-04-2017,CH,,,,,,
