Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
21-04-2017,CH,Lunch,AMZ,Anjappar Medavakkam,Chettinad Chicken with Parota,7,1314
21-04-2017,CH,Lunch,AMZ,Anjappar Medavakkam,Chappathi with Mutton Masala,5,1310
21-04-2017,CH,Lunch,AMZ,Anjappar Medavakkam,Chicken 65 Biryani Meal,28,1316
21-04-2017,CH,Lunch,AMZ,Anjappar Medavakkam,Mutton Biryani with Chicken Chukka,20,1332
21-04-2017,CH,Lunch,AMZ,Eco Kitchen,Chapathi Kurma Raitha,7,944
21-04-2017,CH,Lunch,AMZ,Eco Kitchen,Chapathi & Veg Biryani,10,954
21-04-2017,CH,Lunch,AMZ,Eco Kitchen,Veg Biryani Combo,9,956
21-04-2017,CH,Lunch,AMZ,Eco Kitchen,Variety Rice Combo,4,957
21-04-2017,CH,Lunch,AMZ,Courtallam Border Rahmath Kadai,Kaadai Biryani Meal,7,1431
21-04-2017,CH,Lunch,AMZ,Courtallam Border Rahmath Kadai,Nattukozhi biryani Meal,7,1432
21-04-2017,CH,Lunch,AMZ,Courtallam Border Rahmath Kadai,Border Parotta Meal,9,1422
21-04-2017,CH,Lunch,AMZ,Courtallam Border Rahmath Kadai,Mutton Biryani Meal,7,1433
21-04-2017,CH,Dinner,AMZ,Anjappar Medavakkam,Karaikudi Chicken with Parota,3,1329
21-04-2017,CH,Dinner,AMZ,Eco Kitchen,Chapathi Kurma Raitha,4,944
21-04-2017,CH,Dinner,AMZ,Eco Kitchen,Parota Kurma Raitha,4,945
21-04-2017,CH,Dinner,AMZ,Anjappar Medavakkam,Chicken 65 Biryani Meal,5,1316
21-04-2017,CH,Dinner,AMZ,Anjappar Medavakkam,Mutton Biryani with Chicken Chukka,5,1332
21-04-2017,CH,BreakFast,AMZ,Eco Kitchen,Idly Vada combo,2,946
21-04-2017,CH,BreakFast,AMZ,Eco Kitchen,Kal Dosa Combo,2,947
21-04-2017,CH,BreakFast,AMZ,Eco Kitchen,Pongal Combo,1,948
21-04-2017,CH,Lunch,ASG,Anjappar Medavakkam,Chicken 65 Biryani Meal,16,200
21-04-2017,CH,Lunch,ASG,Anjappar Medavakkam,Mutton Biryani Chicken Chukka,15,201
21-04-2017,CH,Lunch,ASG,Anjappar Medavakkam,Chettinad Veg Masala with Chapati,4,202
21-04-2017,CH,Lunch,ASG,Anjappar Medavakkam,Chettinad Chicken with Parota,3,241
21-04-2017,CH,Lunch,ASG,Anjappar Medavakkam,Fish Kuzhambu Rice Combo,4,209
21-04-2017,CH,Lunch,CEL,Courtallam Border Rahmath Kadai,Border Parotta Meal,12,1422
21-04-2017,CH,Lunch,CEL,Courtallam Border Rahmath Kadai,Kaadai Biryani Meal,8,1431
21-04-2017,CH,Lunch,CEL,Courtallam Border Rahmath Kadai,Nattukozhi biryani Meal,17,1432
21-04-2017,CH,Lunch,CEL,Courtallam Border Rahmath Kadai,Mutton Biryani Meal,17,1433
21-04-2017,CH,Lunch,CEL,Eco Kitchen,Chapathi Kurma Raitha,8,944
21-04-2017,CH,Lunch,CEL,Eco Kitchen,Chapathi & Veg Biryani,12,954
21-04-2017,CH,Lunch,CEL,Eco Kitchen,Simple Meal/Quick Lunch,4,955
21-04-2017,CH,Lunch,CEL,Eco Kitchen,Veg Biryani Combo,8,956
21-04-2017,CH,Lunch,CEL,Eco Kitchen,Variety Rice Combo,4,957
21-04-2017,CH,Dinner,CEL,Eco Kitchen,Parota Kurma Raitha,4,945
21-04-2017,CH,Dinner,CEL,Eco Kitchen,Uthappam Combo,3,952
21-04-2017,CH,Dinner,CEL,Eco Kitchen,Idly Vada combo,3,946
21-04-2017,CH,Lunch,CSI,Eco Kitchen,Chapathi Kurma Raitha,5,944
21-04-2017,CH,Lunch,CSI,Eco Kitchen,Chapathi & Veg Biryani,6,954
21-04-2017,CH,Lunch,CSI,Eco Kitchen,Veg Biryani Combo,5,956
21-04-2017,CH,Lunch,CSI,Eco Kitchen,Variety Rice Combo,4,957
21-04-2017,CH,Lunch,CSI,Courtallam Border Rahmath Kadai,Border Parotta Meal,10,1422
21-04-2017,CH,Lunch,CSI,Courtallam Border Rahmath Kadai,Kaadai Biryani Meal,8,1431
21-04-2017,CH,Lunch,CSI,Courtallam Border Rahmath Kadai,Nattukozhi biryani Meal,8,1432
21-04-2017,CH,Lunch,CSI,Courtallam Border Rahmath Kadai,Mutton Biryani Meal,14,1433
21-04-2017,CH,Lunch,SPI,Anjappar Medavakkam,Chicken 65 Biryani Meal,13,200
21-04-2017,CH,Lunch,SPI,Anjappar Medavakkam,Mutton Biryani with Chicken Chukka,10,236
21-04-2017,CH,Lunch,SPI,Anjappar Medavakkam,Chettinad Chicken with Parota,6,241
21-04-2017,CH,Lunch,SPI,Eco Kitchen,Chapathi Kurma Raitha,5,944
21-04-2017,CH,Lunch,SPI,Eco Kitchen,Chapathi & Veg Biryani,5,954
21-04-2017,CH,Lunch,SPI,Eco Kitchen,Veg Biryani Combo,5,956
